supplier_id,supplier_name,address,email,supplier_phone_number,product_type
0,"Rodriguez, Figueroa and Sanchez","819 Johnson Course
East William, AK 74064",jennifermiles@example.com,479.540.2654,pvc
1,Garcia-James,"407 Teresa Lane Apt. 849
Barbaraland, AZ 87174",kendragalloway@example.org,664-375-2553,steelwire
2,"Reid, Ferguson and Sanchez","835 Jeremy Bypass Suite 641
New Nancy, MD 28370",pfoster@example.com,(842)738-8496,sewerage
3,Osborn and Sons,"12269 Paul Ranch
Riceside, VI 02005",maldonadoamanda@example.com,001-551-446-2704x82814,hdpe
4,Farmer-Ryan,"570 Sarah Wells
Johnbury, FM 74865",millertodd@example.org,001-682-827-8248x96383,hdpe
5,"Santos, Kim and Holmes","50983 Adrian Station
East Carloston, VI 43810",palmerjoshua@example.com,582.399.7376,sanitary
6,Hopkins LLC,"010 Chandler Union Apt. 333
Taylorburgh, KY 61138",nancyjones@example.net,908-501-3267,pvc
7,Barrera-Martin,"7468 Moore Hill Apt. 098
Lake Leeton, OR 62994",brianromero@example.org,291-336-1939,pvc
8,Sandoval-Cunningham,"53462 Bryant Terrace Apt. 079
North Amandahaven, KS 17862",nicole35@example.com,(378)449-8084,cpvc
9,Wilson-Rodriguez,"9353 Wagner Glen Apt. 164
North Matthewberg, SC 34836",joycearnold@example.com,-9271,sanitary
10,Williams LLC,"PSC 0533, Box 1586
APO AP 98736",sarayoung@example.org,(360)825-6342,agriculture
11,Garrison and Sons,"4330 Raymond Harbors Apt. 458
Frazierside, MA 04118",wileyjose@example.net,501-696-5569x816,upvc
12,Fletcher Inc,"6159 Alvarado Crossing
Williamchester, MD 53244",angela36@example.net,(729)994-6804x4369,steelwire
13,Ramos-Lewis,"148 Davis Terrace
Lake Lance, AS 26601",andrewsanchez@example.com,+1-317-869-3676x320,cpvc
14,Thompson Ltd,"317 Laurie Shores
Stephaniemouth, RI 94777",jrivas@example.com,(677)943-4873,sanitary
15,Reeves and Sons,"122 Patrick Drives Apt. 166
Amychester, AR 27611",xprice@example.net,001-509-967-0546x688,hdpe
16,Nelson Group,"627 Tina Place Apt. 699
North Dawnberg, VI 61016",brentgray@example.org,755.564.6417x080,pvc
17,"Jones, Bernard and Williams","09232 Caldwell Port
South Holly, WI 48852",catherinestuart@example.net,824-519-0496,upvc
18,Vargas Ltd,"919 Michael Meadow Suite 185
Port Robertfort, CT 57323",cynthia72@example.com,(684)798-7769,steelwire
